"Player","Nation","Pos","Age","MP","Starts","Min","90s","Gls","Ast","G+A","G-PK","PK","PKatt","CrdY","CrdR","xG","npxG","xAG","npxG+xAG","PrgC","PrgP","PrgR","Gls_90","Ast_90","G+A_90","G-PK_90","G+A-PK_90","xG_90","xAG_90","xG+xAG_90","npxG_90","npxG+xAG_90","Team","AgeGroup","MP_norm","xG_norm","xAG_norm"
"Harry Maguire","eng ENG","DF",30,22,18,1653,18.4,2,2,4,2,0,0,4,0,2,2,1.2,3.3,20,73,2,0.11,0.11,0.22,0.11,0.22,0.11,0.07,0.18,0.11,0.18,"Manchester United","Prime",0.567567567567568,0.0684931506849315,0.101694915254237
"RaphaÃ«l Varane","fr FRA","DF",30,22,16,1375,15.3,1,0,1,1,0,0,2,0,1.3,1.3,0.1,1.3,16,59,2,0.07,0,0.07,0.07,0.07,0.08,0,0.09,0.08,0.09,"Manchester United","Prime",0.567567567567568,0.0445205479452055,0.00847457627118644
"Jonny Evans","nir NIR","DF",35,23,15,1392,15.5,0,1,1,0,0,0,2,0,0.1,0.1,1.2,1.2,7,37,1,0,0.06,0.06,0,0.06,0,0.08,0.08,0,0.08,"Manchester United","Veteran",0.594594594594595,0.00342465753424658,0.101694915254237
"Antony","br BRA","FW",23,29,15,1324,14.7,1,1,2,1,0,0,5,0,3.4,3.4,2.8,6.1,53,64,149,0.07,0.07,0.14,0.07,0.14,0.23,0.19,0.42,0.23,0.42,"Manchester United","Young",0.756756756756757,0.116438356164384,0.23728813559322
"Victor LindelÃ¶f","se SWE","DF",29,19,14,1328,14.8,1,1,2,1,0,0,2,0,0.8,0.8,0.3,1.1,17,40,17,0.07,0.07,0.14,0.07,0.14,0.05,0.02,0.07,0.05,0.07,"Manchester United","Prime",0.486486486486487,0.0273972602739726,0.0254237288135593
"Christian Eriksen","dk DEN","MF",31,22,12,1141,12.7,1,2,3,1,0,0,1,0,1,1,2.3,3.3,20,68,23,0.08,0.16,0.24,0.08,0.24,0.08,0.18,0.26,0.08,0.26,"Manchester United","Veteran",0.567567567567568,0.0342465753424658,0.194915254237288
"Luke Shaw","eng ENG","DF",28,12,12,959,10.7,0,0,0,0,0,0,6,0,0,0,1,1,10,45,30,0,0,0,0,0,0,0.09,0.1,0,0.1,"Manchester United","Prime",0.297297297297297,0,0.0847457627118644
"Sofyan Amrabat","ma MAR","MF,DF",26,21,10,938,10.4,0,0,0,0,0,0,6,0,0.1,0.1,0.3,0.4,6,66,10,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,"Manchester United","Prime",0.540540540540541,0.00342465753424658,0.0254237288135593
"Lisandro MartÃ­nez","ar ARG","DF",25,11,8,646,7.2,0,1,1,0,0,0,3,0,0,0,0.1,0.1,8,28,1,0,0.14,0.14,0,0.14,0,0.01,0.01,0,0.01,"Manchester United","Prime",0.27027027027027,0,0.00847457627118644
"Mason Mount","eng ENG","MF,FW",24,14,5,516,5.7,1,0,1,1,0,0,2,0,0.4,0.4,0.3,0.7,9,21,34,0.17,0,0.17,0.17,0.17,0.07,0.06,0.13,0.07,0.13,"Manchester United","Prime",0.351351351351351,0.0136986301369863,0.0254237288135593
"Anthony Martial","fr FRA","FW",27,13,5,448,5,1,0,1,1,0,0,0,0,1.2,1.2,0.2,1.5,6,12,36,0.2,0,0.2,0.2,0.2,0.25,0.05,0.29,0.25,0.29,"Manchester United","Prime",0.324324324324324,0.0410958904109589,0.0169491525423729
"Sergio ReguilÃ³n","es ESP","DF",26,9,4,412,4.6,0,0,0,0,0,0,3,0,0.2,0.2,0.7,0.9,11,27,38,0,0,0,0,0,0.04,0.16,0.2,0.04,0.2,"Manchester United","Prime",0.216216216216216,0.00684931506849315,0.0593220338983051
"Amad Diallo","ci CIV","FW,MF",21,9,3,390,4.3,1,1,2,1,0,0,1,0,0.5,0.5,1.1,1.6,11,10,31,0.23,0.23,0.46,0.23,0.46,0.12,0.24,0.36,0.12,0.36,"Manchester United","Young",0.216216216216216,0.0171232876712329,0.0932203389830508
"Willy Kambwala","fr FRA","DF",18,8,3,330,3.7,0,0,0,0,0,0,1,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,"Manchester United","Young",0.189189189189189,0,0
"Hannibal Mejbri","tn TUN","MF,FW",20,5,1,133,1.5,1,0,1,1,0,0,1,0,0,0,0.4,0.4,2,6,10,0.68,0,0.68,0.68,0.68,0.02,0.25,0.27,0.02,0.27,"Manchester United","Young",0.108108108108108,0,0.0338983050847458
"Omari Forson","eng ENG","FW",19,4,1,70,0.8,0,1,1,0,0,0,0,0,0,0,0.2,0.2,1,2,2,0,1.29,1.29,0,1.29,0.04,0.23,0.27,0.04,0.27,"Manchester United","Young",0.0810810810810811,0,0.0169491525423729
"Jadon Sancho","eng ENG","FW,MF",23,3,0,79,0.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,10,4,5,0,0,0,0,0,0,0.06,0.06,0,0.06,"Manchester United","Young",0.0540540540540541,0,0.00847457627118644
"Ethan Wheatley","eng ENG","FW",25.57712305026,3,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Manchester United","Prime",0.0540540540540541,0,0
"Daniel Gore","eng ENG","MF",18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Manchester United","Young",0,0,0
"Ollie Watkins","eng ENG","FW",27,37,37,3217,35.7,19,13,32,19,0,0,4,0,16.8,16.8,7.3,24.2,62,55,214,0.53,0.36,0.9,0.53,0.9,0.47,0.21,0.68,0.47,0.68,"Aston Villa","Prime",0.972972972972973,0.575342465753425,0.61864406779661
"Ezri Konsa","eng ENG","DF",25,35,35,3069,34.1,1,0,1,1,0,0,5,0,2.5,2.5,0.5,3,37,136,33,0.03,0,0.03,0.03,0.03,0.07,0.02,0.09,0.07,0.09,"Aston Villa","Prime",0.918918918918919,0.0856164383561644,0.0423728813559322
"John McGinn","sct SCO","MF,FW",28,35,35,2999,33.3,6,4,10,6,0,0,9,1,5,5,4.6,9.6,59,189,84,0.18,0.12,0.3,0.18,0.3,0.15,0.14,0.29,0.15,0.29,"Aston Villa","Prime",0.918918918918919,0.171232876712329,0.389830508474576
"Douglas Luiz","br BRA","MF",25,35,35,2993,33.3,9,5,14,5,4,4,12,0,6.9,3.8,5.4,9.2,60,168,50,0.27,0.15,0.42,0.15,0.3,0.21,0.16,0.37,0.11,0.28,"Aston Villa","Prime",0.918918918918919,0.236301369863014,0.457627118644068
"Emiliano MartÃ­nez","ar ARG","GK",30,34,34,3015,33.5,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"Aston Villa","Prime",0.891891891891892,0,0
"Pau Torres","es ESP","DF",26,29,27,2464,27.4,2,0,2,2,0,0,1,0,1,1,0.4,1.4,42,128,16,0.07,0,0.07,0.07,0.07,0.04,0.02,0.05,0.04,0.05,"Aston Villa","Prime",0.756756756756757,0.0342465753424658,0.0338983050847458
"Lucas Digne","fr FRA","DF",30,33,27,2410,26.8,1,3,4,1,0,0,7,0,1.1,1.1,4.1,5.2,42,77,200,0.04,0.11,0.15,0.04,0.15,0.04,0.15,0.19,0.04,0.19,"Aston Villa","Prime",0.864864864864865,0.0376712328767123,0.347457627118644
"Moussa Diaby","fr FRA","FW,MF",24,38,25,2174,24.2,6,8,14,6,0,0,1,0,7,7,6.6,13.6,94,72,183,0.25,0.33,0.58,0.25,0.58,0.29,0.27,0.56,0.29,0.56,"Aston Villa","Prime",1,0.23972602739726,0.559322033898305
"Matty Cash","pl POL","DF",25,29,23,2142,23.8,2,2,4,2,0,0,8,0,4.2,4.2,2.3,6.5,62,88,101,0.08,0.08,0.17,0.08,0.17,0.18,0.1,0.27,0.18,0.27,"Aston Villa","Prime",0.756756756756757,0.143835616438356,0.194915254237288
"Leon Bailey","jm JAM","MF,FW",25,35,22,2068,23,10,9,19,10,0,0,5,0,6.3,6.3,9.2,15.5,102,82,226,0.44,0.39,0.83,0.44,0.83,0.27,0.4,0.67,0.27,0.67,"Aston Villa","Prime",0.918918918918919,0.215753424657534,0.779661016949152
"Diego Carlos","br BRA","DF",30,27,20,1816,20.2,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2,4,59,1,0,0,0,0,0,0.1,0,0.1,0.1,0.1,"Aston Villa","Prime",0.702702702702703,0.0650684931506849,0.00847457627118644
"Boubacar Kamara","fr FRA","MF",23,20,20,1652,18.4,0,1,1,0,0,0,7,1,0.1,0.1,1.3,1.4,19,83,10,0,0.05,0.05,0,0.05,0.01,0.07,0.08,0.01,0.08,"Aston Villa","Young",0.513513513513513,0.00342465753424658,0.110169491525424
"Youri Tielemans","be BEL","MF,FW",26,32,17,1622,18,2,6,8,2,0,0,3,0,1.3,1.3,2.6,3.9,23,128,46,0.11,0.33,0.44,0.11,0.44,0.07,0.14,0.21,0.07,0.21,"Aston Villa","Prime",0.837837837837838,0.0445205479452055,0.220338983050847
"ClÃ©ment Lenglet","fr FRA","DF",28,14,14,1153,12.8,0,1,1,0,0,0,3,0,0.9,0.9,0.8,1.6,26,51,1,0,0.08,0.08,0,0.08,0.07,0.06,0.13,0.07,0.13,"Aston Villa","Prime",0.351351351351351,0.0308219178082192,0.0677966101694915
"Ãlex Moreno","es ESP","DF",30,21,11,1031,11.5,2,0,2,2,0,0,2,0,1.1,1.1,1.1,2.3,32,24,83,0.17,0,0.17,0.17,0.17,0.1,0.1,0.2,0.1,0.2,"Aston Villa","Prime",0.540540540540541,0.0376712328767123,0.0932203389830508
"NicolÃ² Zaniolo","it ITA","FW,MF",24,25,9,839,9.3,2,0,2,2,0,0,7,0,2.6,2.6,1,3.6,35,30,60,0.21,0,0.21,0.21,0.21,0.28,0.11,0.39,0.28,0.39,"Aston Villa","Prime",0.648648648648649,0.089041095890411,0.0847457627118644
"Jacob Ramsey","eng ENG","FW,MF",22,16,8,853,9.5,1,1,2,1,0,0,2,0,2.2,2.2,1,3.2,33,28,69,0.11,0.11,0.21,0.11,0.21,0.23,0.11,0.34,0.23,0.34,"Aston Villa","Young",0.405405405405405,0.0753424657534247,0.0847457627118644
"Robin Olsen","se SWE","GK",33,5,4,405,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aston Villa","Veteran",0.108108108108108,0,0
"Jhon DurÃ¡n","co COL","FW,MF",19,23,3,475,5.3,5,0,5,5,0,0,5,0,2,2,0.3,2.3,9,9,25,0.95,0,0.95,0.95,0.95,0.38,0.06,0.44,0.38,0.44,"Aston Villa","Young",0.594594594594595,0.0684931506849315,0.0254237288135593
"Tim Iroegbunam","eng ENG","MF",20,9,1,164,1.8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,"Aston Villa","Young",0.216216216216216,0,0
"Calum Chambers","eng ENG","MF,DF",28,5,1,152,1.7,0,1,1,0,0,0,1,0,0,0,0.1,0.1,0,5,1,0,0.59,0.59,0,0.59,0,0.06,0.06,0,0.06,"Aston Villa","Prime",0.108108108108108,0,0.00847457627118644
"Leander Dendoncker","be BEL","MF",28,8,1,119,1.3,1,0,1,1,0,0,0,0,0.7,0.7,0,0.7,0,3,2,0.76,0,0.76,0.76,0.76,0.56,0,0.56,0.56,0.56,"Aston Villa","Prime",0.189189189189189,0.023972602739726,0
"Tyrone Mings","eng ENG","DF",30,1,1,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.07,0.09,0.02,0.09,"Aston Villa","Prime",0,0,0
"Omari Kellyman","eng ENG","FW",17,2,0,37,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,0,0,0,0,0,0,0.17,0,0.17,0.17,0.17,"Aston Villa","Young",0.027027027027027,0.00342465753424658,0
"Philippe Coutinho","br BRA","MF,FW",31,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,5,5,2,0,0,0,0,0,0.52,0,0.52,0.52,0.52,"Aston Villa","Veteran",0.027027027027027,0.00342465753424658,0
"Bertrand TraorÃ©","bf BFA","DF,FW",27,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aston Villa","Prime",0.027027027027027,0,0
"Cameron Archer","eng ENG","MF",22,1,0,6,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Aston Villa","Young",0,0,0
"Finley Munroe","eng ENG","MF",18,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aston Villa","Young",0,0,0
"Jaden Philogene Bidace","eng ENG","FW",21,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,"Aston Villa","Young",0,0,0
"VladimÃ­r Coufal","cz CZE","DF",30,36,36,3132,34.8,0,7,7,0,0,0,7,1,0.3,0.3,4,4.3,68,119,126,0,0.2,0.2,0,0.2,0.01,0.11,0.12,0.01,0.12,"West Ham United","Prime",0.945945945945946,0.0102739726027397,0.338983050847458
"Emerson Palmieri","it ITA","DF",28,36,35,3137,34.9,1,2,3,1,0,0,10,0,1.5,1.5,2.4,3.9,59,125,124,0.03,0.06,0.09,0.03,0.09,0.04,0.07,0.11,0.04,0.11,"West Ham United","Prime",0.945945945945946,0.0513698630136986,0.203389830508475
"Jarrod Bowen","eng ENG","FW",26,34,34,3019,33.5,16,6,22,16,0,0,2,0,11.6,11.6,5.5,17.2,90,52,186,0.48,0.18,0.66,0.48,0.66,0.35,0.16,0.51,0.35,0.51,"West Ham United","Prime",0.891891891891892,0.397260273972603,0.466101694915254
"James Ward-Prowse","eng ENG","MF",28,37,34,3001,33.3,7,7,14,5,2,2,4,0,6,4.4,7.8,12.3,18,144,63,0.21,0.21,0.42,0.15,0.36,0.18,0.23,0.41,0.13,0.37,"West Ham United","Prime",0.972972972972973,0.205479452054795,0.661016949152542
"TomÃ¡Å¡ SouÄek","cz CZE","MF",28,37,34,2870,31.9,7,2,9,7,0,0,7,0,6.7,6.7,1.7,8.4,7,86,39,0.22,0.06,0.28,0.22,0.28,0.21,0.05,0.26,0.21,0.26,"West Ham United","Prime",0.972972972972973,0.229452054794521,0.144067796610169
"Kurt Zouma","fr FRA","DF",28,33,32,2838,31.5,3,0,3,3,0,0,3,0,1.8,1.8,0.2,2,7,53,1,0.1,0,0.1,0.1,0.1,0.06,0.01,0.06,0.06,0.06,"West Ham United","Prime",0.864864864864865,0.0616438356164384,0.0169491525423729
"Alphonse Areola","fr FRA","GK",30,31,31,2699,30,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"West Ham United","Prime",0.810810810810811,0,0
"Lucas PaquetÃ¡","br BRA","FW,MF",25,31,31,2622,29.1,4,6,10,2,2,2,10,0,5.4,3.8,5.4,9.2,34,187,116,0.14,0.21,0.34,0.07,0.27,0.18,0.18,0.37,0.13,0.32,"West Ham United","Prime",0.810810810810811,0.184931506849315,0.457627118644068
"Edson Ãlvarez","mx MEX","MF",25,31,28,2377,26.4,1,1,2,1,0,0,11,0,1.3,1.3,0.6,1.9,20,91,26,0.04,0.04,0.08,0.04,0.08,0.05,0.02,0.07,0.05,0.07,"West Ham United","Prime",0.810810810810811,0.0445205479452055,0.0508474576271186
"Mohammed Kudus","gh GHA","FW,MF",22,33,27,2484,27.6,8,6,14,8,0,0,6,0,5.1,5.1,3.5,8.6,117,80,216,0.29,0.22,0.51,0.29,0.51,0.19,0.13,0.31,0.19,0.31,"West Ham United","Young",0.864864864864865,0.174657534246575,0.296610169491525
"Nayef Aguerd","ma MAR","DF",27,21,21,1857,20.6,1,0,1,1,0,0,3,1,1.5,1.5,0.3,1.8,10,68,3,0.05,0,0.05,0.05,0.05,0.07,0.01,0.09,0.07,0.09,"West Ham United","Prime",0.540540540540541,0.0513698630136986,0.0254237288135593
"Michail Antonio","jm JAM","FW",33,26,21,1695,18.8,6,2,8,6,0,0,6,0,5.8,5.8,0.9,6.7,48,22,104,0.32,0.11,0.42,0.32,0.42,0.31,0.05,0.35,0.31,0.35,"West Ham United","Veteran",0.675675675675676,0.198630136986301,0.076271186440678
"Konstantinos Mavropanos","gr GRE","DF",25,19,16,1500,16.7,1,0,1,1,0,0,2,0,1.2,1.2,0.2,1.4,10,38,2,0.06,0,0.06,0.06,0.06,0.07,0.01,0.08,0.07,0.08,"West Ham United","Prime",0.486486486486487,0.0410958904109589,0.0169491525423729
"Åukasz FabiaÅ„ski","pl POL","GK",38,10,7,721,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"West Ham United","Veteran",0.243243243243243,0,0
"Angelo Ogbonna","it ITA","DF",35,11,7,635,7.1,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,"West Ham United","Veteran",0.27027027027027,0,0
"SaÃ¯d Benrahma","dz ALG","FW,MF",27,13,5,620,6.9,0,1,1,0,0,1,1,0,1.8,1,1.4,2.5,28,28,70,0,0.15,0.15,0,0.15,0.27,0.21,0.47,0.15,0.36,"West Ham United","Prime",0.324324324324324,0.0616438356164384,0.11864406779661
"Ben Johnson","eng ENG","DF,FW",23,14,4,544,6,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,17,22,33,0,0,0,0,0,0.03,0,0.03,0.03,0.03,"West Ham United","Young",0.351351351351351,0.00684931506849315,0
"Aaron Cresswell","eng ENG","DF,FW",33,11,4,436,4.8,0,0,0,0,0,0,1,0,0,0,0.4,0.4,4,26,6,0,0,0,0,0,0,0.09,0.09,0,0.09,"West Ham United","Veteran",0.27027027027027,0,0.0338983050847458
"Pablo Fornals","es ESP","MF,FW",27,15,4,426,4.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,4,29,27,0,0,0,0,0,0.07,0.07,0.13,0.07,0.13,"West Ham United","Prime",0.378378378378378,0.0102739726027397,0.0254237288135593
"Danny Ings","eng ENG","FW",31,20,3,404,4.5,1,0,1,1,0,0,1,0,1.3,1.3,0.3,1.5,7,8,29,0.22,0,0.22,0.22,0.22,0.28,0.06,0.34,0.28,0.34,"West Ham United","Veteran",0.513513513513513,0.0445205479452055,0.0254237288135593
"Kalvin Phillips","eng ENG","MF",27,8,3,309,3.4,0,0,0,0,0,0,3,1,0.1,0.1,0,0.1,3,19,4,0,0,0,0,0,0.02,0,0.02,0.02,0.02,"West Ham United","Prime",0.189189189189189,0.00342465753424658,0
"Maxwel Cornet","ci CIV","MF,FW",26,7,1,112,1.2,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.6,3,2,8,0.8,0,0.8,0.8,0.8,0.32,0.13,0.46,0.32,0.46,"West Ham United","Prime",0.162162162162162,0.0136986301369863,0.0169491525423729
"Divin Mubama","eng ENG","FW",18,5,0,80,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,5,0,0,0,0,0,0.17,0,0.17,0.17,0.17,"West Ham United","Young",0.108108108108108,0.00342465753424658,0
"George Earthy","eng ENG","FW",18,3,0,34,0.4,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,0,1,3,2.65,0,2.65,2.65,2.65,0.82,0,0.82,0.82,0.82,"West Ham United","Young",0.0540540540540541,0.0102739726027397,0
"Thilo Kehrer","de GER","DF,MF",26,4,0,22,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"West Ham United","Prime",0.0810810810810811,0,0
"Kaelan Casey","eng ENG","DF",18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"West Ham United","Young",0,0,0
"Joachim Andersen","dk DEN","DF",27,38,38,3415,37.9,2,3,5,2,0,0,7,0,1.7,1.7,2.8,4.5,21,147,10,0.05,0.08,0.13,0.05,0.13,0.04,0.07,0.12,0.04,0.12,"Crystal Palace","Prime",1,0.0582191780821918,0.23728813559322
"Tyrick Mitchell","eng ENG","DF,MF",23,37,37,3204,35.6,2,3,5,2,0,0,6,0,1.6,1.6,2.8,4.4,32,94,159,0.06,0.08,0.14,0.06,0.14,0.04,0.08,0.12,0.04,0.12,"Crystal Palace","Young",0.972972972972973,0.0547945205479452,0.23728813559322
"Jordan Ayew","gh GHA","FW,MF",31,35,30,2543,28.3,4,7,11,4,0,0,9,1,3.9,3.9,4.2,8.1,74,63,173,0.14,0.25,0.39,0.14,0.39,0.14,0.15,0.29,0.14,0.29,"Crystal Palace","Veteran",0.918918918918919,0.133561643835616,0.355932203389831
"Jefferson Lerma","co COL","MF,DF",28,28,27,2400,26.7,1,1,2,1,0,0,8,0,2.7,2.7,2.2,4.8,14,106,51,0.04,0.04,0.07,0.04,0.07,0.1,0.08,0.18,0.1,0.18,"Crystal Palace","Prime",0.72972972972973,0.0924657534246575,0.186440677966102
"Jean-Philippe Mateta","fr FRA","FW",26,35,25,2282,25.4,16,5,21,14,2,2,3,0,10.9,9.4,3.1,12.5,29,25,135,0.63,0.2,0.83,0.55,0.75,0.43,0.12,0.56,0.37,0.49,"Crystal Palace","Prime",0.918918918918919,0.373287671232877,0.26271186440678
"Eberechi Eze","eng ENG","MF,FW",25,27,24,2055,22.8,11,4,15,10,1,1,3,0,9.1,8.3,5.2,13.5,68,93,139,0.48,0.18,0.66,0.44,0.61,0.4,0.23,0.62,0.36,0.59,"Crystal Palace","Prime",0.702702702702703,0.311643835616438,0.440677966101695
"Chris Richards","us USA","DF,MF",23,26,23,2094,23.3,1,1,2,1,0,0,3,0,0.6,0.6,0.4,1,1,43,1,0.04,0.04,0.09,0.04,0.09,0.03,0.02,0.04,0.03,0.04,"Crystal Palace","Young",0.675675675675676,0.0205479452054795,0.0338983050847458
"Marc GuÃ©hi","eng ENG","DF",23,25,23,2021,22.5,0,1,1,0,0,0,2,0,0.6,0.6,0.6,1.2,15,67,7,0,0.04,0.04,0,0.04,0.03,0.03,0.05,0.03,0.05,"Crystal Palace","Young",0.648648648648649,0.0205479452054795,0.0508474576271186
"Joel Ward","eng ENG","DF",33,26,23,1980,22,0,1,1,0,0,0,4,0,0.9,0.9,0.2,1.1,16,66,14,0,0.05,0.05,0,0.05,0.04,0.01,0.05,0.04,0.05,"Crystal Palace","Veteran",0.675675675675676,0.0308219178082192,0.0169491525423729
"Will Hughes","eng ENG","MF",28,30,23,1891,21,0,1,1,0,0,0,6,0,0.3,0.3,1.1,1.5,14,76,17,0,0.05,0.05,0,0.05,0.02,0.05,0.07,0.02,0.07,"Crystal Palace","Prime",0.783783783783784,0.0102739726027397,0.0932203389830508
"Sam Johnstone","eng ENG","GK",30,20,20,1796,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Crystal Palace","Prime",0.513513513513513,0,0
"Dean Henderson","eng ENG","GK",26,18,18,1620,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Crystal Palace","Prime",0.459459459459459,0,0
"Odsonne Ã‰douard","fr FRA","FW,MF",25,30,17,1555,17.3,7,0,7,7,0,0,4,0,6.2,6.2,1.2,7.4,33,36,100,0.41,0,0.41,0.41,0.41,0.36,0.07,0.43,0.36,0.43,"Crystal Palace","Prime",0.783783783783784,0.212328767123288,0.101694915254237
"Jeffrey Schlupp","gh GHA","FW,MF",30,29,17,1352,15,2,2,4,2,0,0,1,0,1.8,1.8,2.3,4.1,20,33,52,0.13,0.13,0.27,0.13,0.27,0.12,0.15,0.27,0.12,0.27,"Crystal Palace","Prime",0.756756756756757,0.0616438356164384,0.194915254237288
"Daniel MuÃ±oz","co COL","DF,MF",27,16,16,1439,16,0,4,4,0,0,0,4,0,1.2,1.2,2.4,3.7,25,38,80,0,0.25,0.25,0,0.25,0.08,0.15,0.23,0.08,0.23,"Crystal Palace","Prime",0.405405405405405,0.0410958904109589,0.203389830508475
"Adam Wharton","eng ENG","MF",19,16,15,1297,14.4,0,3,3,0,0,0,2,0,0.3,0.3,2.4,2.8,14,79,10,0,0.21,0.21,0,0.21,0.02,0.17,0.19,0.02,0.19,"Crystal Palace","Young",0.405405405405405,0.0102739726027397,0.203389830508475
"Nathaniel Clyne","eng ENG","DF",32,19,14,1338,14.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,10,33,18,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03,"Crystal Palace","Veteran",0.486486486486487,0.00684931506849315,0.0169491525423729
"Michael Olise","fr FRA","FW,MF",21,19,14,1275,14.2,10,6,16,9,1,1,0,0,5.5,4.7,5.8,10.5,68,78,134,0.71,0.42,1.13,0.64,1.06,0.39,0.41,0.8,0.33,0.74,"Crystal Palace","Young",0.486486486486487,0.188356164383562,0.491525423728814
"Cheick DoucourÃ©","ml MLI","MF",23,11,11,919,10.2,0,0,0,0,0,0,2,0,0.3,0.3,0.7,1,9,49,5,0,0,0,0,0,0.03,0.07,0.1,0.03,0.1,"Crystal Palace","Young",0.27027027027027,0.0102739726027397,0.0593220338983051
"JaÃ¯ro Riedewald","nl NED","MF,FW",26,9,2,235,2.6,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,0,0,0,0,0,0.01,0,0.01,0.01,0.01,"Crystal Palace","Prime",0.216216216216216,0,0
"Matheus FranÃ§a","br BRA","MF,FW",19,10,1,232,2.6,0,1,1,0,0,0,1,0,0.4,0.4,0.9,1.2,12,8,12,0,0.39,0.39,0,0.39,0.14,0.34,0.48,0.14,0.48,"Crystal Palace","Young",0.243243243243243,0.0136986301369863,0.076271186440678
"Naouirou Ahamada","fr FRA","MF,FW",21,20,0,349,3.9,0,0,0,0,0,0,4,1,0.5,0.5,0,0.5,19,25,20,0,0,0,0,0,0.13,0.01,0.13,0.13,0.13,"Crystal Palace","Young",0.513513513513513,0.0171232876712329,0
"David Ozoh","eng ENG","MF,DF",18,9,0,156,1.7,0,0,0,0,0,0,1,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,"Crystal Palace","Young",0.216216216216216,0,0
"Jesurun Rak Sakyi","eng ENG","MF,FW",20,6,0,136,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,7,2,18,0,0,0,0,0,0.28,0.1,0.38,0.28,0.38,"Crystal Palace","Young",0.135135135135135,0.0136986301369863,0.0169491525423729
"James Tomkins","eng ENG","DF",25.57712305026,4,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Crystal Palace","Prime",0.0810810810810811,0,0
"Remi Matthews","eng ENG","GK",29,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Crystal Palace","Prime",0,0,0
"Bernd Leno","de GER","GK",31,38,38,3420,38,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulham","Veteran",1,0,0
"Antonee Robinson","us USA","DF",25,37,37,3265,36.3,0,6,6,0,0,0,6,0,0.7,0.7,4.2,4.8,99,129,194,0,0.17,0.17,0,0.17,0.02,0.11,0.13,0.02,0.13,"Fulham","Prime",0.972972972972973,0.023972602739726,0.355932203389831
"Andreas Pereira","br BRA","MF",27,37,34,2613,29,3,7,10,3,0,0,6,0,4.6,4.6,7.1,11.7,56,138,125,0.1,0.24,0.34,0.1,0.34,0.16,0.24,0.4,0.16,0.4,"Fulham","Prime",0.972972972972973,0.157534246575342,0.601694915254237
